date,scraped_at,chart_type,rank,title,artist,weeks_on_chart,peak_rank,chart_label
2026-03-18,2026-03-18T14:58:06,hot_100,,Choosin' Texas,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Man I Need,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,I Just Might,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,American Girls,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Ordinary,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Stateside,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Golden,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,The Fate Of Ophelia,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Aperture,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Opalite,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,So Easy (To Fall In Love),,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Risk It All,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Folded,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Back To Friends,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,"Ready, Steady, Go!",,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,DTMF,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Taste Back,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Coming Up Roses,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Where Is My Husband!,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Be Her,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Sleepless In A Hotel Room,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,E85,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Pop,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Be By You,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Are You Listening Yet?,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Dance No More,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Yukon,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,The Waiting Game,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Iloveitiloveitiloveit,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Season 2 Weight Loss,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Body,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Babydoll,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Homewrecker,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,What You Saying,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Baile Inolvidable,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Die On This Hill,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Dracula,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Carla's Song,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Amen,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Fever Dream,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,The Fall,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,The Great Divide,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Better Me For You (Brown Eyes),,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Nuevayol,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Paint By Numbers,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Tit For Tat,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Let 'Em Know,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,It Depends,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Midnight Sun,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Lush Life,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Brunette,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,McArthur,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,White Keys,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,A Couple Minutes,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Chanel,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Days Like These,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,I Ain't Coming Back,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Beautiful Things,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,When Did You Get Hot?,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Dandelion,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Change My Mind,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Pop Dat Thang,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Raindance,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Wish I Didn't,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Travelin' Soldier,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Say Why,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,God Was Showing Off,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Butterflies.,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Cha Cha Cha,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Dance With Me,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Turn This Truck Around,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Ain't A Bad Life,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Ends Of The Earth,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Elizabeth Taylor,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,What He'll Never Have,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Why You Wanna Fight?,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Time's Ticking,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Secondhand,,,,
2026-03-18,2026-03-18T14:58:06,hot_100,,Nice To Each Other,,,,
