date,song_name,rank,streams,previous_rank,peak_rank,total_days
2017-01-01,I Don’t Wanna Live Forever (Fifty Shades Darker),140,18368,,,1
2017-01-21,I Don’t Wanna Live Forever (Fifty Shades Darker),25,68971,23,,2
2017-02-10,I Don’t Wanna Live Forever (Fifty Shades Darker),7,107352,7,,3
2017-03-01,I Don’t Wanna Live Forever (Fifty Shades Darker),2,118608,2,,4
2017-03-19,I Don’t Wanna Live Forever (Fifty Shades Darker),2,99184,3,,5
2017-04-06,I Don’t Wanna Live Forever (Fifty Shades Darker),14,76968,12,,6
2017-04-24,I Don’t Wanna Live Forever (Fifty Shades Darker),19,63706,16,,7
2017-05-12,I Don’t Wanna Live Forever (Fifty Shades Darker),80,44007,67,,8
2017-06-03,I Don’t Wanna Live Forever (Fifty Shades Darker),107,28492,89,,9
2017-06-24,I Don’t Wanna Live Forever (Fifty Shades Darker),168,22428,151,,10
2017-07-13,I Don’t Wanna Live Forever (Fifty Shades Darker),176,21578,154,,11
2017-07-24,I Don’t Wanna Live Forever (Fifty Shades Darker),190,17801,192,,12
2017-08-01,I Don’t Wanna Live Forever (Fifty Shades Darker),159,18677,162,,13
2017-08-20,I Don’t Wanna Live Forever (Fifty Shades Darker),194,15614,,,14
2017-08-25,Look What You Made Me Do,23,63695,,,1
2017-08-28,I Don’t Wanna Live Forever (Fifty Shades Darker),180,18786,,,15
2017-09-07,Look What You Made Me Do,15,74314,18,,2
2017-09-07,...Ready For It?,96,29167,104,,1
2017-09-07,I Don’t Wanna Live Forever (Fifty Shades Darker),160,19769,173,,16
2017-09-10,I Don’t Wanna Live Forever (Fifty Shades Darker),196,17633,,,17
2017-09-18,I Don’t Wanna Live Forever (Fifty Shades Darker),195,18268,,,18
2017-09-25,Look What You Made Me Do,72,44740,64,,3
2017-10-13,Look What You Made Me Do,83,42973,80,,4
2017-10-20,Gorgeous,154,28733,,,1
2017-10-24,Gorgeous,200,21851,,,2
2019-04-28,ME! (feat. Brendon Urie of Panic! At The Disco),31,89670,32,,1
2019-05-19,ME! (feat. Brendon Urie of Panic! At The Disco),128,37749,119,,2
2019-06-14,You Need To Calm Down,147,51074,,,1
2019-06-17,You Need To Calm Down,168,42185,,,2
2019-06-27,You Need To Calm Down,177,44656,,,3
2019-07-18,You Need To Calm Down,195,35427,,,4
2019-08-03,You Need To Calm Down,146,43520,146,,5
2019-08-08,You Need To Calm Down,196,33846,,,6
2019-08-21,You Need To Calm Down,156,40703,153,,7
2019-08-23,Lover,160,43428,,,1
2019-08-23,The Man,161,43362,,,1
2019-09-12,You Need To Calm Down,198,35545,170,,8
2020-07-24,cardigan,119,60242,,,1
2020-12-11,willow,119,61231,,,1
2020-12-24,Christmas Tree Farm,150,79724,,,1
2021-02-12,Love Story (Taylor’s Version),174,43367,,,1
2021-11-15,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),172,44619,,,1
2021-12-31,Shake It Off,117,94241,,,1
2022-10-21,Anti-Hero,23,149835,,,1
2022-10-21,Lavender Haze,40,122196,,,1
2022-10-21,Snow On The Beach (feat. Lana Del Rey),42,121258,,,1
2022-10-21,Maroon,56,107751,,,1
2022-10-21,"You're On Your Own, Kid",63,98907,,,1
2022-10-21,Midnight Rain,70,93133,,,1
2022-10-21,Vigilante Shit,78,89621,,,1
2022-10-21,Question...?,85,86850,,,1
2022-10-21,Karma,93,82321,,,1
2022-10-21,Bejeweled,103,78303,,,1
2022-10-21,Labyrinth,118,72556,,,1
2022-10-21,Mastermind,135,67127,,,1
2022-10-21,Sweet Nothing,136,66953,,,1
2022-10-28,Anti-Hero,79,92980,55,,2
2022-11-01,Snow On The Beach (feat. Lana Del Rey),193,41263,,,2
2022-11-02,Lavender Haze,195,45902,,,2
