date,song_name,rank,streams,previous_rank,peak_rank,total_days
2019-04-26,ME! (feat. Brendon Urie of Panic! At The Disco),1,7945784,,,1
2019-05-01,ME! (feat. Brendon Urie of Panic! At The Disco),2,4207421,3,,2
2019-05-02,ME! (feat. Brendon Urie of Panic! At The Disco),3,4264470,2,,3
2019-05-03,ME! (feat. Brendon Urie of Panic! At The Disco),4,4517983,3,,4
2019-05-04,ME! (feat. Brendon Urie of Panic! At The Disco),4,4075119,4,,5
2019-05-05,ME! (feat. Brendon Urie of Panic! At The Disco),3,3501443,4,,6
2019-05-06,ME! (feat. Brendon Urie of Panic! At The Disco),3,3784836,3,,7
2019-05-07,ME! (feat. Brendon Urie of Panic! At The Disco),4,3754302,3,,8
2019-05-08,ME! (feat. Brendon Urie of Panic! At The Disco),4,3593031,4,,9
2019-05-09,ME! (feat. Brendon Urie of Panic! At The Disco),4,3514978,4,,10
2019-05-10,ME! (feat. Brendon Urie of Panic! At The Disco),6,3730998,4,,11
2019-05-11,ME! (feat. Brendon Urie of Panic! At The Disco),6,3495242,6,,12
2019-05-12,ME! (feat. Brendon Urie of Panic! At The Disco),5,3006187,6,,13
2019-05-13,ME! (feat. Brendon Urie of Panic! At The Disco),5,3211177,5,,14
2019-05-14,ME! (feat. Brendon Urie of Panic! At The Disco),6,3316290,5,,15
2019-05-15,ME! (feat. Brendon Urie of Panic! At The Disco),6,3253994,6,,16
2019-05-16,ME! (feat. Brendon Urie of Panic! At The Disco),6,2941966,6,,17
2019-05-17,ME! (feat. Brendon Urie of Panic! At The Disco),13,2882735,6,,18
2019-05-18,ME! (feat. Brendon Urie of Panic! At The Disco),12,2728240,13,,19
2019-05-19,ME! (feat. Brendon Urie of Panic! At The Disco),13,2346023,12,,20
2019-05-24,ME! (feat. Brendon Urie of Panic! At The Disco),16,2614948,14,,21
2019-05-25,ME! (feat. Brendon Urie of Panic! At The Disco),16,2417845,16,,22
2019-05-26,ME! (feat. Brendon Urie of Panic! At The Disco),16,2123848,16,,23
2019-05-27,ME! (feat. Brendon Urie of Panic! At The Disco),16,2319380,16,,24
2019-05-28,ME! (feat. Brendon Urie of Panic! At The Disco),16,2368052,16,,25
2019-05-29,ME! (feat. Brendon Urie of Panic! At The Disco),16,2293936,16,,26
2019-05-30,ME! (feat. Brendon Urie of Panic! At The Disco),18,2197264,16,,27
2019-05-31,ME! (feat. Brendon Urie of Panic! At The Disco),22,2140959,18,,28
2019-06-01,ME! (feat. Brendon Urie of Panic! At The Disco),19,2007176,22,,29
2019-06-02,ME! (feat. Brendon Urie of Panic! At The Disco),20,1791082,19,,30
2019-06-03,ME! (feat. Brendon Urie of Panic! At The Disco),21,1948757,20,,31
2019-06-04,ME! (feat. Brendon Urie of Panic! At The Disco),23,1951658,21,,32
2019-06-05,ME! (feat. Brendon Urie of Panic! At The Disco),23,1890009,23,,33
2019-06-06,ME! (feat. Brendon Urie of Panic! At The Disco),22,1911176,23,,34
2019-06-07,ME! (feat. Brendon Urie of Panic! At The Disco),28,1900484,22,,35
2019-06-08,ME! (feat. Brendon Urie of Panic! At The Disco),30,1753848,28,,36
2019-06-09,ME! (feat. Brendon Urie of Panic! At The Disco),28,1574785,30,,37
2019-06-10,ME! (feat. Brendon Urie of Panic! At The Disco),27,1728298,28,,38
2019-06-11,ME! (feat. Brendon Urie of Panic! At The Disco),27,1734961,27,,39
2019-06-12,ME! (feat. Brendon Urie of Panic! At The Disco),27,1779266,27,,40
2019-06-17,ME! (feat. Brendon Urie of Panic! At The Disco),28,1712949,28,,41
2019-06-17,You Need To Calm Down,5,3431616,7,,1
2019-06-18,ME! (feat. Brendon Urie of Panic! At The Disco),29,1747678,28,,42
2019-06-18,You Need To Calm Down,5,3702636,5,,2
2019-06-19,ME! (feat. Brendon Urie of Panic! At The Disco),29,1673316,29,,43
2019-06-19,You Need To Calm Down,5,3490531,5,,3
2019-06-20,ME! (feat. Brendon Urie of Panic! At The Disco),34,1601647,29,,44
2019-06-20,You Need To Calm Down,6,3286427,5,,4
2019-06-21,ME! (feat. Brendon Urie of Panic! At The Disco),46,1651428,34,,45
2019-06-21,You Need To Calm Down,6,3888182,6,,5
2019-06-22,ME! (feat. Brendon Urie of Panic! At The Disco),48,1553604,46,,46
2019-06-22,You Need To Calm Down,7,3403320,6,,6
2019-06-23,ME! (feat. Brendon Urie of Panic! At The Disco),47,1387771,48,,47
2019-06-23,You Need To Calm Down,8,2951600,7,,7
2019-06-24,ME! (feat. Brendon Urie of Panic! At The Disco),42,1511031,47,,48
