pop_rank,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release,previous_pop_rank
11,43,spotify:track:1hjRhYpWyqDpPahmSlUTlc,Taylor Swift,Style (Taylor's Version),Taylor Swift,43,-1,1,111417,better than original; pop; pop perfection; synthpop; synthwave,True,1989 (Taylor's Version),2023-10-27,0,
12,52,spotify:track:71BqAINEnezjQfxE4VuJfq,Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,52,-1,1,104493,synthpop; pop; dream pop; female vocalists; singer song writer,True,1989 (Taylor’s Version) (Deluxe),,,
15,61,spotify:track:45wMBGri1PORPjM9PwFfrS,Taylor Swift,Blank Space (Taylor's Version),Taylor Swift,61,-1,1,98074,electropop; pop; synthpop; teen pop; taylor swift,True,1989 (Taylor's Version),,,
18,68,spotify:track:4NioO5R9sHEZh4cGzMHyNt,Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,68,-1,1,94961,pop; synthpop; pop rock; female vocalists; singer songwriter,True,1989 (Taylor’s Version) (Deluxe),,,
20,76,spotify:track:1hR8BSuEqPCCZfv93zzzz9,Taylor Swift,Welcome To New York (Taylor's Version),Taylor Swift,76,-1,1,90852,synthpop; electropop; pop; female vocalist; disco,True,1989 (Taylor's Version),,,
21,77,spotify:track:045ZeOHPIzhxxsm8bq5kyE,Taylor Swift,Out Of The Woods (Taylor's Version),Taylor Swift,77,-1,1,89852,synthpop; electropop; my top songs; pop; goodgirl owns this song,True,1989 (Taylor's Version),,,
22,82,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,82,-1,1,86712,pop; synthpop; synthwave; electropop; masterpiece,True,1989 (Taylor’s Version) (Deluxe),,,
24,88,spotify:track:5KD6AEm19QnMbfWpfoOHMl,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,88,-1,1,85745,from the vault; synthpop; dance-pop; female vocalist; alt-pop,True,1989 (Taylor’s Version) (Deluxe),,,
29,102,spotify:track:3pv7Q5v2dpdefwdWIvE7yH,Taylor Swift,Shake It Off (Taylor's Version),Taylor Swift,102,-1,1,77710,dance-pop; pop; teen pop; pep band; marching band,True,1989 (Taylor's Version),,,
31,110,spotify:track:6T0sEnqjmHISIKwFETeeiP,Taylor Swift,Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,110,-1,1,74922,synthpop; from the vault; synth pop; amazing; suburban legends,True,1989 (Taylor’s Version) (Deluxe),,,
32,113,spotify:track:1K39ty6o1sHwwlZwO6a7wK,Taylor Swift,Wildest Dreams (Taylor's Version),Taylor Swift,113,-1,1,74516,pop; dream pop; synthpop; ballad; lana del rey -ish,True,1989 (Taylor's Version),,,
33,114,spotify:track:6GXgd1BPD9bUpqw5AntGV5,Taylor Swift,All You Had To Do Was Stay (Taylor's Version),Taylor Swift,114,-1,1,74423,synthpop; pop; pop rock; electropop; taylors version,True,1989 (Taylor's Version),,,
35,125,spotify:track:64FzgoLZ3oXu2SriZblHic,Taylor Swift,Bad Blood (Taylor's Version),Taylor Swift,125,-1,1,71906,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,1989 (Taylor's Version),,,
39,146,spotify:track:43y1WpBdnEy5TR9aZoSQL9,Taylor Swift,I Wish You Would (Taylor's Version),Taylor Swift,146,-1,1,65798,bubblegum pop; electropop; synthwave; synthpop; female vocalist,True,1989 (Taylor's Version),,,
40,152,spotify:track:2vPMoMDXxu9uX1igWZmXSG,Taylor Swift,New Romantics (Taylor's Version),Taylor Swift,152,-1,1,63992,synthpop; female vocalist; electropop; pop; radio,True,1989 (Taylor's Version),,,
42,154,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,103,135,52,63558,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,2023-10-18,9,23.0
46,173,spotify:track:2ByBBvpR9b7IynvRmnG7kG,Taylor Swift,Clean (Taylor's Version),Taylor Swift,173,-1,1,59726,masterpiece; pop; female vocalist; ambient; indietronica,True,1989 (Taylor's Version),,,
47,175,spotify:track:75W3SngKzTuoQ94uLf3y82,Taylor Swift,How You Get The Girl (Taylor's Version),Taylor Swift,175,-1,1,59415,bubblegum pop; electropop; pop; female vocalist; synth-pop,True,1989 (Taylor's Version),,,
49,182,spotify:track:2f0GI2ZLUtbGqFx8t2Gk6A,Taylor Swift,I Know Places (Taylor's Version),Taylor Swift,182,-1,1,58411,pop; drum and bass; electropop; synthpop; electronic,True,1989 (Taylor's Version),,,
50,200,spotify:track:2ve0kuaWUCt4Zx8x4bf1MR,Taylor Swift,Wonderland (Taylor's Version),Taylor Swift,200,-1,1,55521,pop; electropop; melodic dubstep; singer-songwriter; amazing,True,1989 (Taylor's Version),,,
