rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
38,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,11,11,2,160377,pop; best of 2024; soty; synthpop; singer-songwriter,True,The Tortured Poets Department (Webstore Exclusive),,
61,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,36,71,202,114383,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,2023-10-18,185
69,spotify:track:2XXwLdtuAcE0HSCu61ijAb,Taylor Swift,My Boy Only Breaks His Favorite Toys,Taylor Swift,33,33,2,104566,pop; best of 2024; synthpop; female vocalists; taylor swift,True,THE TORTURED POETS DEPARTMENT,,
73,spotify:track:3Vevii7qKqrmW8CcyzBHDl,Taylor Swift,"So Long, London",Taylor Swift,35,35,2,103527,pop; best of 2024; singer-songwriter; synthpop; wsum 91.7 fm madison,True,THE TORTURED POETS DEPARTMENT,,
86,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,Taylor Swift,The Tortured Poets Department,Taylor Swift,28,28,2,98963,pop; synthpop; best of 2024; singer-songwriter; 2024,True,THE TORTURED POETS DEPARTMENT,,
89,spotify:track:2F3N9tdombb64aW6VtZOdo,Taylor Swift,Down Bad,Taylor Swift,38,38,2,98765,pop; synthpop; best of 2024; love at first listen; pop perfect,True,THE TORTURED POETS DEPARTMENT,,
103,spotify:track:4q5YezDOIPcoLr8R81x9qy,Taylor Swift,I Can Do It With a Broken Heart,Taylor Swift,56,56,2,90202,pop; best of 2024; synthpop; dance-pop; soty,True,THE TORTURED POETS DEPARTMENT,2024-04-19,1
116,spotify:track:5og4Qzt92jJzVDkOtSEilb,Taylor Swift,But Daddy I Love Him,Taylor Swift,49,49,2,85085,pop; best of 2024; pop rock; colleen hoover; country,True,THE TORTURED POETS DEPARTMENT,,
127,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,"Taylor Swift, Florence + The Machine",Florida!!! (feat. Florence + The Machine),Taylor Swift,52,52,2,82014,pop; rock; alternative; country; pop rock; singer-songwriter; love at first listen; best of 2024; 2024; alternative pop,True,,,
130,spotify:track:36t6frENUtCYKuZus6aYDO,Taylor Swift,Who’s Afraid of Little Old Me?,Taylor Swift,57,57,2,80915,love at first listen; pop; best of 2024; pop rock; taylor swift,True,THE TORTURED POETS DEPARTMENT [Clean] [Clean],,
170,spotify:track:0W0iAC1VGlB82PI6elxFYf,Taylor Swift,Guilty as Sin?,Taylor Swift,62,62,2,69806,pop; best of 2024; singer-songwriter; pop rock; soty,True,THE TORTURED POETS DEPARTMENT,,
184,spotify:track:3fO566xJgwxIa3qGCGBvIC,Taylor Swift,Fresh Out The Slammer,Taylor Swift,60,60,2,66972,pop; singer-songwriter; colleen hoover; love at first listen; best of 2024,True,THE TORTURED POETS DEPARTMENT,,
197,spotify:track:6RSG1dKPV5gEvILwJb4QtS,Taylor Swift,loml,Taylor Swift,74,74,2,65408,pop; singer-songwriter; sad; piano; ballad,True,THE TORTURED POETS DEPARTMENT,,
