pop_rank,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release,previous_pop_rank,delta_pop
1,2,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,2,-1,1,476365,pop; best of 2025; baroque pop; synthpop; love at first listen; dance-pop; soty; aoty; 2025; art pop,True,,,,,
2,5,spotify:track:1jgTiNob5cVyXeJ3WgX5bL,Taylor Swift,Elizabeth Taylor,Taylor Swift,5,-1,1,323455,who put katy perry?; pop; baroque pop; soty; halsey,True,The Life of a Showgirl,,,,
3,8,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,Opalite,Taylor Swift,8,-1,1,310631,pop; synthpop; soft rock; rnb; christmas; power pop; dance; doo-wop; 90s; experimental,True,,,,,
4,14,spotify:track:03bTIHJElXZ0O0jqOQvAbY,Taylor Swift,Father Figure,Taylor Swift,14,-1,1,273554,soty; best of 2025; synthpop; pop; female vocalist,True,The Life of a Showgirl,,,,
5,18,spotify:track:62HoDY1Km6lm47haFpUn9c,Taylor Swift,Eldest Daughter,Taylor Swift,18,-1,1,253378,pop; 2020s; sad; experimental; ballad,True,The Life of a Showgirl,,,,
6,20,spotify:track:1appZ3c336FkPvCuywfmrs,Taylor Swift,CANCELLED!,Taylor Swift,20,-1,1,249570,pop; soty; rock; female vocalist; singer-songwriter,True,The Life of a Showgirl,,,,
7,21,spotify:track:2x3mwb96B6TquRqMtbxUE1,Taylor Swift,Actually Romantic,Taylor Swift,21,-1,1,243248,pop rock; power pop; best of 2025; ended flopli xcx; disco,True,The Life of a Showgirl,,,,
8,22,spotify:track:5eXgqtg3T8Av0m1FUaGHex,"Taylor Swift, Sabrina Carpenter",The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,22,-1,1,241988,pop; power pop; rnb; disco; acid rock,True,,,,,
9,23,spotify:track:62V2ZHslgQV98gH4AuVXnr,Taylor Swift,Ruin The Friendship,Taylor Swift,23,-1,1,237680,pop; country pop; peter; soft rock; country,True,The Life of a Showgirl,,,,
10,27,spotify:track:2TEQvxxQabwLQMqWMg1qGu,Taylor Swift,Wi$h Li$t,Taylor Swift,27,-1,1,230260,pop; synthpop; fav; synth pop; dream,True,The Life of a Showgirl,,,,
11,28,spotify:track:5ylJtmaWPJ33cW3En7WOu0,Taylor Swift,Wood,Taylor Swift,28,-1,1,226036,pop; funk; disco; sexy; 70s,True,The Life of a Showgirl,,,,
14,36,spotify:track:4qmFC3Jz5aQ0erlk2OSi2X,Taylor Swift,Honey,Taylor Swift,36,-1,1,198422,pop; rnb; soft rock; metal; power pop,True,The Life of a Showgirl,,,,
