pop_rank,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release,previous_pop_rank,delta_pop
1,6,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,2,6,4,290735,pop; best of 2025; baroque pop; synthpop; love at first listen; dance-pop; soty; aoty; 2025; art pop,True,,,,1.0,0.0
3,30,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,Opalite,Taylor Swift,8,31,4,167041,pop; synthpop; soft rock; rnb; christmas; power pop; dance; doo-wop; 90s; experimental,True,,,,4.0,1.0
5,32,spotify:track:1jgTiNob5cVyXeJ3WgX5bL,Taylor Swift,Elizabeth Taylor,Taylor Swift,5,32,4,160113,who put katy perry?; pop; baroque pop; soty; halsey,True,The Life of a Showgirl,,,5.0,0.0
8,46,spotify:track:03bTIHJElXZ0O0jqOQvAbY,Taylor Swift,Father Figure,Taylor Swift,14,47,4,128562,soty; best of 2025; synthpop; pop; female vocalist,True,The Life of a Showgirl,,,10.0,2.0
11,53,spotify:track:1appZ3c336FkPvCuywfmrs,Taylor Swift,CANCELLED!,Taylor Swift,20,57,4,121016,pop; soty; rock; female vocalist; singer-songwriter,True,The Life of a Showgirl,,,13.0,2.0
15,66,spotify:track:5eXgqtg3T8Av0m1FUaGHex,"Taylor Swift, Sabrina Carpenter",The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,22,72,4,105387,pop; power pop; rnb; disco; acid rock,True,,,,19.0,4.0
16,67,spotify:track:2x3mwb96B6TquRqMtbxUE1,Taylor Swift,Actually Romantic,Taylor Swift,21,76,4,104842,pop rock; power pop; best of 2025; ended flopli xcx; disco,True,The Life of a Showgirl,,,20.0,4.0
17,70,spotify:track:62HoDY1Km6lm47haFpUn9c,Taylor Swift,Eldest Daughter,Taylor Swift,18,71,4,103872,pop; 2020s; sad; experimental; ballad,True,The Life of a Showgirl,,,18.0,1.0
22,79,spotify:track:62V2ZHslgQV98gH4AuVXnr,Taylor Swift,Ruin The Friendship,Taylor Swift,23,79,4,98143,pop; country pop; peter; soft rock; country,True,The Life of a Showgirl,,,22.0,0.0
23,80,spotify:track:5ylJtmaWPJ33cW3En7WOu0,Taylor Swift,Wood,Taylor Swift,28,84,4,97965,pop; funk; disco; sexy; 70s,True,The Life of a Showgirl,,,24.0,1.0
24,81,spotify:track:2TEQvxxQabwLQMqWMg1qGu,Taylor Swift,Wi$h Li$t,Taylor Swift,27,83,4,97689,pop; synthpop; fav; synth pop; dream,True,The Life of a Showgirl,,,23.0,-1.0
29,110,spotify:track:4qmFC3Jz5aQ0erlk2OSi2X,Taylor Swift,Honey,Taylor Swift,36,113,4,82793,pop; rnb; soft rock; metal; power pop,True,The Life of a Showgirl,,,29.0,0.0
