rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
6,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,2,5,6,308979,pop; best of 2025; baroque pop; synthpop; love at first listen; dance-pop; soty; aoty; 2025; art pop,True,,,
39,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,Opalite,Taylor Swift,8,35,6,149339,pop; synthpop; soft rock; rnb; christmas; power pop; dance; doo-wop; 90s; experimental,True,,,
44,spotify:track:1jgTiNob5cVyXeJ3WgX5bL,Taylor Swift,Elizabeth Taylor,Taylor Swift,5,39,6,138182,who put katy perry?; pop; baroque pop; soty; halsey,True,The Life of a Showgirl,,
73,spotify:track:03bTIHJElXZ0O0jqOQvAbY,Taylor Swift,Father Figure,Taylor Swift,14,58,6,108185,soty; best of 2025; synthpop; pop; female vocalist,True,The Life of a Showgirl,,
81,spotify:track:1appZ3c336FkPvCuywfmrs,Taylor Swift,CANCELLED!,Taylor Swift,20,67,6,101649,pop; soty; rock; female vocalist; singer-songwriter,True,The Life of a Showgirl,,
107,spotify:track:5eXgqtg3T8Av0m1FUaGHex,"Taylor Swift, Sabrina Carpenter",The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,22,86,6,88041,pop; power pop; rnb; disco; acid rock,True,,,
115,spotify:track:2x3mwb96B6TquRqMtbxUE1,Taylor Swift,Actually Romantic,Taylor Swift,21,90,6,85551,pop rock; power pop; best of 2025; ended flopli xcx; disco,True,The Life of a Showgirl,,
120,spotify:track:5ylJtmaWPJ33cW3En7WOu0,Taylor Swift,Wood,Taylor Swift,28,97,6,84002,pop; funk; disco; sexy; 70s,True,The Life of a Showgirl,,
126,spotify:track:62HoDY1Km6lm47haFpUn9c,Taylor Swift,Eldest Daughter,Taylor Swift,18,92,6,83184,pop; 2020s; sad; experimental; ballad,True,The Life of a Showgirl,,
129,spotify:track:2TEQvxxQabwLQMqWMg1qGu,Taylor Swift,Wi$h Li$t,Taylor Swift,27,96,6,81847,pop; synthpop; fav; synth pop; dream,True,The Life of a Showgirl,,
140,spotify:track:62V2ZHslgQV98gH4AuVXnr,Taylor Swift,Ruin The Friendship,Taylor Swift,23,104,6,78154,pop; country pop; peter; soft rock; country,True,The Life of a Showgirl,,
195,spotify:track:4qmFC3Jz5aQ0erlk2OSi2X,Taylor Swift,Honey,Taylor Swift,36,141,6,66538,pop; rnb; soft rock; metal; power pop,True,The Life of a Showgirl,,
