rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
18,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,15,224,2716617,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
31,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,32,116,2397325,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
55,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,51,56,553,1866320,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
57,spotify:track:3xYJScVfxByb61dYHTwiby,Taylor Swift,Hits Different,Taylor Swift,8,54,7,1854671,pop; love at first listen; bonus track; pop rock; best of 2023,True,Midnights (Lavender Edition),,
71,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,59,64,83,1682097,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
80,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,70,179,1593565,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
81,spotify:track:4i6cwNY6oIUU2XZxPIw82Y,"Taylor Swift, Ice Spice",Karma (feat. Ice Spice),Taylor Swift,5,115,7,1587431,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Midnights (The Til Dawn Edition),,
84,spotify:track:4zmKGsrXjLmljb5fTaBTot,"Taylor Swift, Lana Del Rey",Snow On The Beach (feat. More Lana Del Rey),Taylor Swift,6,113,7,1559215,pop perfection; dream pop; pop; death metal; ballad,True,Midnights (The Til Dawn Edition),,
85,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,82,98,1552627,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
89,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,46,86,147,1535673,country; pop; taylor swift; love; country pop,True,Speak Now,,
131,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,121,291,1335975,pop; electropop; gospel; edm; exile,True,Golden Collection,,
134,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,2,127,222,1324429,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,
177,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,Taylor Swift,Midnight Rain,Taylor Swift,4,169,156,1169047,pop; synthpop; electropop; overrated; aoty,True,Midnights [Clean],,
188,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,188,127,1136922,pop; country; love; indie folk; country pop,True,You Belong With Me,,
192,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,197,29,1122506,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
