rank,track_name,artist_names,streams,previous_rank,peak_rank
1,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",5355963,1,1
2,American Girls,Harry Styles,5287896,3,1
3,Risk It All,Bruno Mars,5120240,2,1
4,DtMF,Bad Bunny,4824176,4,1
5,Babydoll,Dominic Fike,4631299,5,4
6,End of Beginning,Djo,4499202,6,1
7,Man I Need,Olivia Dean,4372092,7,2
8,So Easy (To Fall In Love),Olivia Dean,4228602,8,5
9,back to friends,sombr,4128726,9,1
10,The Fate of Ophelia,Taylor Swift,4113612,10,1
11,Raindance (feat. Tems),"Dave, Tems",3803845,11,10
12,BAILE INoLVIDABLE,Bad Bunny,3581122,13,2
13,WHERE IS MY HUSBAND!,RAYE,3524948,12,5
14,NUEVAYoL,Bad Bunny,3503717,14,2
15,Lush Life,Zara Larsson,3426268,15,4
16,Ordinary,Alex Warren,3413337,17,1
17,Coming Up Roses,Harry Styles,3269025,20,8
18,I Just Might,Bruno Mars,3266497,18,3
19,Aperture,Harry Styles,3228159,16,1
20,Taste Back,Harry Styles,3200486,21,6
21,iloveitiloveitiloveit,Bella Kay,3169349,22,21
22,"Ready, Steady, Go!",Harry Styles,3128239,19,2
23,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",3011278,23,1
24,Die On This Hill,SIENNA SPIRO,2870316,25,8
25,Iris,The Goo Goo Dolls,2866734,28,9
26,Tití Me Preguntó,Bad Bunny,2857790,27,4
27,EoO,Bad Bunny,2855679,29,4
28,Die With A Smile,"Lady Gaga, Bruno Mars",2825016,30,1
29,Are You Listening Yet?,Harry Styles,2729692,24,4
30,Pop,Harry Styles,2699954,26,11
31,I Thought I Saw Your Face Today,She & Him,2661202,31,12
32,Love Me Not,Ravyn Lenae,2612565,33,8
33,The Waiting Game,Harry Styles,2524491,32,10
34,12 to 12,sombr,2511212,34,12
35,BIRDS OF A FEATHER,Billie Eilish,2494604,37,1
36,Sailor Song,Gigi Perez,2481425,38,5
37,Sweater Weather,The Neighbourhood,2475162,40,12
38,Homewrecker,sombr,2405442,39,19
39,Season 2 Weight Loss,Harry Styles,2378218,35,12
40,Manchild,Sabrina Carpenter,2364550,42,1
41,Dance No More,Harry Styles,2355012,36,15
42,Every Breath You Take,The Police,2325929,41,6
43,FEVER DREAM,Alex Warren,2294301,43,12
44,White Keys,Dominic Fike,2252189,45,44
45,Carla's Song,Harry Styles,2222271,44,19
46,WILDFLOWER,Billie Eilish,2134250,48,8
47,Opalite,Taylor Swift,2130307,47,2
48,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole",2124654,50,38
49,Creep,Radiohead,2090013,54,22
50,E85,Don Toliver,2089111,46,21
51,No Broke Boys,"Disco Lines, Tinashe",2051625,52,6
52,Mr. Brightside,The Killers,2048061,55,40
53,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",2040914,57,28
54,Choosin' Texas,Ella Langley,2038156,51,42
55,Beautiful Things,Benson Boone,2035336,58,1
56,I Wanna Be Yours,Arctic Monkeys,2031434,56,11
57,VOY A LLeVARTE PA PR,Bad Bunny,1982954,59,5
