pop_rank,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release,previous_pop_rank,delta_pop
1,6,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,2,10,3,241617,pop; best of 2025; baroque pop; synthpop; love at first listen; dance-pop; soty; aoty; 2025; art pop,True,,,,1.0,0.0
4,31,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,Opalite,Taylor Swift,8,29,3,147283,pop; synthpop; soft rock; rnb; christmas; power pop; dance; doo-wop; 90s; experimental,True,,,,5.0,1.0
5,32,spotify:track:1jgTiNob5cVyXeJ3WgX5bL,Taylor Swift,Elizabeth Taylor,Taylor Swift,5,28,3,145409,who put katy perry?; pop; baroque pop; soty; halsey,True,The Life of a Showgirl,,,4.0,-1.0
10,47,spotify:track:03bTIHJElXZ0O0jqOQvAbY,Taylor Swift,Father Figure,Taylor Swift,14,42,3,115026,soty; best of 2025; synthpop; pop; female vocalist,True,The Life of a Showgirl,,,9.0,-1.0
13,57,spotify:track:1appZ3c336FkPvCuywfmrs,Taylor Swift,CANCELLED!,Taylor Swift,20,48,3,108646,pop; soty; rock; female vocalist; singer-songwriter,True,The Life of a Showgirl,,,12.0,-1.0
18,71,spotify:track:62HoDY1Km6lm47haFpUn9c,Taylor Swift,Eldest Daughter,Taylor Swift,18,62,3,97640,pop; 2020s; sad; experimental; ballad,True,The Life of a Showgirl,,,16.0,-2.0
19,72,spotify:track:5eXgqtg3T8Av0m1FUaGHex,"Taylor Swift, Sabrina Carpenter",The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,22,59,3,97161,pop; power pop; rnb; disco; acid rock,True,,,,14.0,-5.0
20,76,spotify:track:2x3mwb96B6TquRqMtbxUE1,Taylor Swift,Actually Romantic,Taylor Swift,21,65,3,95293,pop rock; power pop; best of 2025; ended flopli xcx; disco,True,The Life of a Showgirl,,,18.0,-2.0
22,79,spotify:track:62V2ZHslgQV98gH4AuVXnr,Taylor Swift,Ruin The Friendship,Taylor Swift,23,70,3,93679,pop; country pop; peter; soft rock; country,True,The Life of a Showgirl,,,20.0,-2.0
23,83,spotify:track:2TEQvxxQabwLQMqWMg1qGu,Taylor Swift,Wi$h Li$t,Taylor Swift,27,72,3,92099,pop; synthpop; fav; synth pop; dream,True,The Life of a Showgirl,,,22.0,-1.0
24,84,spotify:track:5ylJtmaWPJ33cW3En7WOu0,Taylor Swift,Wood,Taylor Swift,28,71,3,91936,pop; funk; disco; sexy; 70s,True,The Life of a Showgirl,,,21.0,-3.0
29,113,spotify:track:4qmFC3Jz5aQ0erlk2OSi2X,Taylor Swift,Honey,Taylor Swift,36,91,3,78276,pop; rnb; soft rock; metal; power pop,True,The Life of a Showgirl,,,25.0,-4.0
