rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
20,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,22,123,2565009,electropop; pop; synthpop; industrial pop; synthwave,True,Lover,,
28,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,23,231,2480996,rock; grunge; 90s; test-tag; batch-test,False,Midnights [Clean],,
56,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,51,55,560,1915967,pop; love at first listen; 2014; female vocalists; best of 2014,True,1989,,
67,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,59,68,90,1800382,pop; synthpop; love at first listen; taylor swift; 1989,True,1989,,
78,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,77,186,1669284,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,
87,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,Taylor Swift,Enchanted,Taylor Swift,46,82,154,1605822,country; pop; taylor swift; love; country pop,True,Speak Now,,
88,spotify:track:7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,8,80,105,1603169,pop; screamo; brutal death metal; metal; overrated,True,Midnights,,
94,spotify:track:3xYJScVfxByb61dYHTwiby,Taylor Swift,Hits Different,Taylor Swift,8,65,14,1554298,pop; love at first listen; bonus track; pop rock; best of 2023,True,Midnights (Lavender Edition),,
118,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,109,298,1409720,pop; electropop; gospel; edm; exile,True,Golden Collection,,
157,spotify:track:4zmKGsrXjLmljb5fTaBTot,"Taylor Swift, Lana Del Rey",Snow On The Beach (feat. More Lana Del Rey),Taylor Swift,6,128,14,1258978,pop perfection; dream pop; pop; death metal; ballad,True,Midnights (The Til Dawn Edition),,
166,spotify:track:4i6cwNY6oIUU2XZxPIw82Y,"Taylor Swift, Ice Spice",Karma (feat. Ice Spice),Taylor Swift,5,113,14,1233428,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,True,Midnights (The Til Dawn Edition),,
170,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,163,134,1219256,pop; country; love; indie folk; country pop,True,You Belong With Me,,
184,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,Taylor Swift,2,179,229,1161869,pop; synthpop; dream pop; overrated; electropop,True,Midnights,,
185,spotify:track:0cqRj7pUJDkTCEsJkx8snD,Taylor Swift,Shake It Off,Taylor Swift,124,183,36,1160355,pop; 2014; haters gonna hate; taylor swift; love at first listen,True,1989,,
