rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,album,release_date,days_since_release
1,spotify:track:1hjRhYpWyqDpPahmSlUTlc,Taylor Swift,Style (Taylor's Version),Taylor Swift,1,-1,1,11672576,better than original; pop; pop perfection; synthpop; synthwave,1989 (Taylor's Version),,
2,spotify:track:71BqAINEnezjQfxE4VuJfq,Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,2,-1,1,11307621,synthpop; pop; dream pop; female vocalists; singer song writer,1989 (Taylor’s Version) (Deluxe),,
3,spotify:track:45wMBGri1PORPjM9PwFfrS,Taylor Swift,Blank Space (Taylor's Version),Taylor Swift,3,-1,1,10359947,electropop; pop; synthpop; teen pop; taylor swift,1989 (Taylor's Version),,
4,spotify:track:4NioO5R9sHEZh4cGzMHyNt,Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,4,-1,1,10332466,pop; synthpop; pop rock; female vocalists; singer songwriter,1989 (Taylor’s Version) (Deluxe),,
5,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,5,-1,1,10029659,pop; synthpop; synthwave; electropop; masterpiece,1989 (Taylor’s Version) (Deluxe),,
6,spotify:track:1hR8BSuEqPCCZfv93zzzz9,Taylor Swift,Welcome To New York (Taylor's Version),Taylor Swift,6,-1,1,9842979,synthpop; electropop; pop; female vocalist; disco,1989 (Taylor's Version),,
7,spotify:track:5KD6AEm19QnMbfWpfoOHMl,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,7,-1,1,9731151,from the vault; synthpop; dance-pop; female vocalist; alt-pop,1989 (Taylor’s Version) (Deluxe),,
8,spotify:track:045ZeOHPIzhxxsm8bq5kyE,Taylor Swift,Out Of The Woods (Taylor's Version),Taylor Swift,8,-1,1,9518887,synthpop; electropop; my top songs; pop; goodgirl owns this song,1989 (Taylor's Version),,
9,spotify:track:6T0sEnqjmHISIKwFETeeiP,Taylor Swift,Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,9,-1,1,8457225,synthpop; from the vault; synth pop; amazing; suburban legends,1989 (Taylor’s Version) (Deluxe),,
10,spotify:track:6GXgd1BPD9bUpqw5AntGV5,Taylor Swift,All You Had To Do Was Stay (Taylor's Version),Taylor Swift,10,-1,1,7964569,synthpop; pop; pop rock; electropop; taylors version,1989 (Taylor's Version),,
11,spotify:track:3pv7Q5v2dpdefwdWIvE7yH,Taylor Swift,Shake It Off (Taylor's Version),Taylor Swift,11,-1,1,7924239,dance-pop; pop; teen pop; pep band; marching band,1989 (Taylor's Version),,
12,spotify:track:1K39ty6o1sHwwlZwO6a7wK,Taylor Swift,Wildest Dreams (Taylor's Version),Taylor Swift,12,-1,73,7871021,pop; dream pop; synthpop; ballad; lana del rey -ish,1989 (Taylor's Version),,
13,spotify:track:64FzgoLZ3oXu2SriZblHic,Taylor Swift,Bad Blood (Taylor's Version),Taylor Swift,13,-1,1,7445241,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,1989 (Taylor's Version),,
14,spotify:track:43y1WpBdnEy5TR9aZoSQL9,Taylor Swift,I Wish You Would (Taylor's Version),Taylor Swift,14,-1,1,7078940,bubblegum pop; electropop; synthwave; synthpop; female vocalist,1989 (Taylor's Version),,
15,spotify:track:2vPMoMDXxu9uX1igWZmXSG,Taylor Swift,New Romantics (Taylor's Version),Taylor Swift,15,-1,1,7036636,synthpop; female vocalist; electropop; pop; radio,1989 (Taylor's Version),,
16,spotify:track:2ByBBvpR9b7IynvRmnG7kG,Taylor Swift,Clean (Taylor's Version),Taylor Swift,16,-1,1,6812042,masterpiece; pop; female vocalist; ambient; indietronica,1989 (Taylor's Version),,
17,spotify:track:75W3SngKzTuoQ94uLf3y82,Taylor Swift,How You Get The Girl (Taylor's Version),Taylor Swift,17,-1,1,6514144,bubblegum pop; electropop; pop; female vocalist; synth-pop,1989 (Taylor's Version),,
19,spotify:track:2f0GI2ZLUtbGqFx8t2Gk6A,Taylor Swift,I Know Places (Taylor's Version),Taylor Swift,19,-1,1,6120560,pop; drum and bass; electropop; synthpop; electronic,1989 (Taylor's Version),,
21,spotify:track:2ve0kuaWUCt4Zx8x4bf1MR,Taylor Swift,Wonderland (Taylor's Version),Taylor Swift,21,-1,1,5937519,pop; electropop; melodic dubstep; singer-songwriter; amazing,1989 (Taylor's Version),,
22,spotify:track:5QVVjX0ZItqlVpEuVCM9Yg,Taylor Swift,This Love (Taylor’s Version),Taylor Swift,22,-1,14,5933667,pop; synthpop; dream pop; soft rock; ethereal,This Love (Taylor’s Version),,
25,spotify:track:4UwqOWDpdeIDVQDuKT6iza,Taylor Swift,You Are In Love (Taylor's Version),Taylor Swift,25,-1,1,5546132,ambient; pop; beautiful; synthpop; masterpiece,1989 (Taylor's Version),,
28,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,2,7,264,5174625,electropop; pop; synthpop; industrial pop; synthwave,Lover,,
40,spotify:track:6qAcApH8obo8eqatCKUHd9,"Taylor Swift, Kendrick Lamar",Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,40,-1,1,2733538,country; pop; female vocalists; singer-songwriter; acoustic; country pop; taylor swift; american; snake; alternative,,,
42,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,12,16,231,2671664,pop; synthpop; love at first listen; taylor swift; 1989,1989,,
52,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Taylor Swift,14,19,701,2476563,pop; love at first listen; 2014; female vocalists; best of 2014,1989,,
57,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,39,372,2164135,rock; grunge; 90s; test-tag; batch-test,Midnights [Clean],,
69,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Taylor Swift,2,44,275,1928604,pop; country; love; indie folk; country pop,You Belong With Me,,
79,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,4,51,261,1796643,dream pop; folk; folk pop; indie pop; indie,folklore: the long pond studio sessions (from the Disney+ special),,
91,spotify:track:4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,Taylor Swift,1,62,327,1667456,folk pop; folk; chamber pop; singer-songwriter; indie,Now That's What I Call Music! Vol. 76,,
92,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,Taylor Swift,68,68,439,1649394,pop; electropop; gospel; edm; exile,Golden Collection,,
