rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,lastfm_tags,pop_flag,album,release_date,days_since_release
1,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,1,1,35,7671558,pop; best of 2025; baroque pop; synthpop; love at first listen,True,The Life of a Showgirl,,
5,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,Opalite,Taylor Swift,2,4,35,4476509,pop; synthpop; soft rock; rnb; christmas,True,The Life of a Showgirl,,
24,spotify:track:1jgTiNob5cVyXeJ3WgX5bL,Taylor Swift,Elizabeth Taylor,Taylor Swift,2,27,35,2260519,who put katy perry?; pop; baroque pop; soty; halsey,True,The Life of a Showgirl,,
41,spotify:track:03bTIHJElXZ0O0jqOQvAbY,Taylor Swift,Father Figure,Taylor Swift,4,41,35,2039905,soty; best of 2025; synthpop; pop; female vocalist,True,The Life of a Showgirl,,
60,spotify:track:2TEQvxxQabwLQMqWMg1qGu,Taylor Swift,Wi$h Li$t,Taylor Swift,7,64,35,1753958,pop; synthpop; fav; synth pop; dream,True,The Life of a Showgirl,,
63,spotify:track:5eXgqtg3T8Av0m1FUaGHex,"Taylor Swift, Sabrina Carpenter",The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,6,66,35,1739067,pop; power pop; rnb; disco; acid rock,True,,,
91,spotify:track:5ylJtmaWPJ33cW3En7WOu0,Taylor Swift,Wood,Taylor Swift,5,88,35,1527040,pop; funk; disco; sexy; 70s,True,The Life of a Showgirl,,
99,spotify:track:2x3mwb96B6TquRqMtbxUE1,Taylor Swift,Actually Romantic,Taylor Swift,6,92,35,1505217,pop rock; power pop; best of 2025; ended flopli xcx; disco,True,The Life of a Showgirl,,
112,spotify:track:1appZ3c336FkPvCuywfmrs,Taylor Swift,CANCELLED!,Taylor Swift,5,109,35,1446302,pop; soty; rock; female vocalist; singer-songwriter,True,The Life of a Showgirl,,
137,spotify:track:62V2ZHslgQV98gH4AuVXnr,Taylor Swift,Ruin The Friendship,Taylor Swift,10,136,35,1352057,pop; country pop; peter; soft rock; country,True,The Life of a Showgirl,,
143,spotify:track:62HoDY1Km6lm47haFpUn9c,Taylor Swift,Eldest Daughter,Taylor Swift,5,141,35,1322136,pop; 2020s; sad; experimental; ballad,True,The Life of a Showgirl,,
185,spotify:track:4qmFC3Jz5aQ0erlk2OSi2X,Taylor Swift,Honey,Taylor Swift,12,177,35,1200739,pop; rnb; soft rock; metal; power pop,True,The Life of a Showgirl,,
