rank,track_name,artist_names,streams,previous_rank,peak_rank
1,Risk It All,Bruno Mars,5164091,3,1
2,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",5115117,1,1
3,American Girls,Harry Styles,4823797,2,1
4,Babydoll,Dominic Fike,4594485,5,4
5,DtMF,Bad Bunny,4557096,4,1
6,Man I Need,Olivia Dean,4140486,7,2
7,End of Beginning,Djo,4047010,6,1
8,The Fate of Ophelia,Taylor Swift,3962747,9,1
9,So Easy (To Fall In Love),Olivia Dean,3918435,8,5
10,Raindance (feat. Tems),"Dave, Tems",3730190,11,10
11,back to friends,sombr,3696095,10,1
12,BAILE INoLVIDABLE,Bad Bunny,3549679,12,2
13,NUEVAYoL,Bad Bunny,3347313,13,2
14,Ordinary,Alex Warren,3205291,14,1
15,iloveitiloveitiloveit,Bella Kay,3196830,16,15
16,WHERE IS MY HUSBAND!,RAYE,3187313,15,5
17,I Just Might,Bruno Mars,3068500,17,3
18,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2892614,21,1
19,Coming Up Roses,Harry Styles,2837064,20,8
20,Die With A Smile,"Lady Gaga, Bruno Mars",2826752,25,1
21,Tití Me Preguntó,Bad Bunny,2752014,28,4
22,Lush Life,Zara Larsson,2739990,19,4
23,Taste Back,Harry Styles,2737471,18,6
24,EoO,Bad Bunny,2723245,27,4
25,Iris,The Goo Goo Dolls,2720000,23,9
26,"Ready, Steady, Go!",Harry Styles,2675824,24,2
27,Die On This Hill,SIENNA SPIRO,2670780,26,8
28,Aperture,Harry Styles,2658435,22,1
29,Love Me Not,Ravyn Lenae,2483415,29,8
30,BIRDS OF A FEATHER,Billie Eilish,2420317,31,1
31,Sailor Song,Gigi Perez,2333757,33,5
32,12 to 12,sombr,2289422,34,12
33,Sweater Weather,The Neighbourhood,2241790,36,12
34,Homewrecker,sombr,2222442,38,19
35,Every Breath You Take,The Police,2221782,39,6
36,Pop,Harry Styles,2208604,32,11
37,Are You Listening Yet?,Harry Styles,2207095,35,4
38,I Thought I Saw Your Face Today,She & Him,2199860,30,12
39,White Keys,Dominic Fike,2196615,40,39
40,Manchild,Sabrina Carpenter,2182594,37,1
41,FEVER DREAM,Alex Warren,2162412,42,12
42,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul, Keyshia Cole",2141031,45,38
43,WILDFLOWER,Billie Eilish,2122193,46,8
44,Opalite,Taylor Swift,2111658,47,2
45,Creep,Radiohead,2087715,49,22
46,The Waiting Game,Harry Styles,2087599,41,10
47,Dance No More,Harry Styles,2061929,43,15
48,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",2017569,59,2
49,I Wanna Be Yours,Arctic Monkeys,1982667,50,11
50,E85,Don Toliver,1971843,53,21
51,Locked out of Heaven,Bruno Mars,1958690,68,14
52,Choosin' Texas,Ella Langley,1951927,55,42
53,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",1948343,54,28
54,Mr. Brightside,The Killers,1935705,51,40
55,Yellow,Coldplay,1904660,60,15
56,Season 2 Weight Loss,Harry Styles,1904492,44,12
57,One Dance,"Drake, Wizkid, Kyla",1896663,57,5
58,Don’t Say You Love Me,Jin,1883296,62,1
59,Beautiful Things,Benson Boone,1877985,52,1
60,Dracula - JENNIE Remix,"Tame Impala, JENNIE",1864672,69,47
61,Carla's Song,Harry Styles,1863024,48,19
62,VOY A LLeVARTE PA PR,Bad Bunny,1859748,58,5
63,No Broke Boys,"Disco Lines, Tinashe",1858015,56,6
64,That's What I Like,Bruno Mars,1857824,63,5
65,dopamina,"Peso Pluma, Tito Double P",1854808,66,11
66,Starboy,"The Weeknd, Daft Punk",1803074,71,1
67,Dracula,Tame Impala,1795823,67,27
68,Espresso,Sabrina Carpenter,1790778,64,1
69,505,Arctic Monkeys,1764529,70,40
70,As It Was,Harry Styles,1747003,79,1
71,LA CANCIÓN,"J Balvin, Bad Bunny",1735814,88,7
72,Bairan,Banjaare,1734289,97,72
73,Dreams - 2004 Remaster,Fleetwood Mac,1731281,73,17
74,Who,Jimin,1727923,84,1
75,Feel Good Inc.,"Gorillaz, De La Soul",1703349,65,39
76,Cuando No Era Cantante,"El Bogueto, Yung Beef",1699324,75,13
77,Sparks,Coldplay,1688250,72,26
78,daño,"Peso Pluma, Tito Double P",1679932,90,28
79,Rein Me In (with Olivia Dean),"Sam Fender, Olivia Dean",1678937,85,79
80,Lose Control,Teddy Swims,1659562,82,5
81,Riptide,Vance Joy,1658414,61,28
82,In the End,Linkin Park,1650385,74,7
83,LA VILLA,"Ryan Castro, Kapo, Gangsta",1619635,78,31
84,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",1612291,76,12
85,undressed,sombr,1610566,81,6
86,Gabriela,KATSEYE,1606460,80,7
87,kota ini tak sama tanpamu,Nadhif Basalamah,1593808,99,27
88,When I Was Your Man,Bruno Mars,1589080,120,28
89,APT.,"ROSÉ, Bruno Mars",1578668,91,1
90,Who Knows,Daniel Caesar,1578644,83,51
91,The Night We Met,Lord Huron,1565049,87,15
92,"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA",1549059,89,2
93,We Are The People,Empire Of The Sun,1548352,94,86
94,Paint By Numbers,Harry Styles,1532855,77,22
95,Pvta Luna,Neton Vega,1529019,98,49
96,Body,Don Toliver,1523291,104,18
97,chiclona,"Peso Pluma, Tito Double P, LENCHO",1523032,100,97
98,Cinnamon Girl,Lana Del Rey,1520866,115,70
99,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",1518637,105,1
100,Just the Way You Are,Bruno Mars,1517982,95,24
101,No One Noticed,The Marías,1516570,108,32
102,7-3,"Peso Pluma, Tito Double P",1502450,122,40
103,It Will Rain,Bruno Mars,1500135,176,29
104,Bring Me To Life,Evanescence,1498383,93,72
105,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",1497400,110,2
106,Bahagia Lagi,Piche Kota,1495338,127,70
107,La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",1493987,119,4
108,A Couple Minutes,Olivia Dean,1489201,111,57
109,Ya Borracho,Herencia De Grandes,1488508,107,48
110,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",1481932,109,8
111,"Good Luck, Babe!",Chappell Roan,1477245,96,5
112,That’s So True,Gracie Abrams,1468341,92,3
